step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
0,CASH_OUT,5822.43,C000661,3229.87,0.0,C002930,0,0,0,0
0,CASH_IN,574.71,C001155,0.0,574.71,C002400,0,0,0,0
0,CASH_OUT,834.37,C004997,842.96,8.590000000000032,C003446,0,0,0,0
0,CASH_OUT,3984.96,C000639,0.0,0.0,C004964,0,0,0,0
0,CASH_OUT,3830.5,C001800,0.0,0.0,C002471,0,0,0,0
0,PAYMENT,1128.59,C000876,12110.359999999999,10981.769999999999,C004463,0,0,0,0
0,DEBIT,1376.99,C003622,0.0,0.0,C002048,0,0,0,0
0,PAYMENT,2291.42,C003922,0.0,0.0,C004539,0,0,0,0
0,CASH_OUT,2627.26,C002696,1000.9900000000002,0.0,C001474,0,0,0,0
0,CASH_IN,890.06,C004080,800.56,1690.62,C001125,0,0,0,0
0,CASH_IN,840.63,C001823,2370.78,3211.4100000000003,C001583,0,0,0,0
0,DEBIT,972.33,C000921,19629.179999999993,18656.84999999999,C004356,0,0,0,0
0,CASH_IN,2763.54,C003326,0.0,2763.54,C002842,0,0,0,0
0,PAYMENT,1096.73,C000581,1040.39,0.0,C003567,0,0,0,0
0,TRANSFER,10914.86,C003620,2291.41,0.0,C003014,0,0,0,1
0,CASH_OUT,8480.6,C003124,0.0,0.0,C004001,0,0,0,0
0,TRANSFER,4378.59,C000365,1388.79,0.0,C002382,0,0,0,0
0,CASH_IN,666.85,C004022,0.0,666.85,C001443,0,0,0,0
0,PAYMENT,3467.62,C003919,0.0,0.0,C004207,0,0,1,0
0,CASH_OUT,2906.37,C002274,11254.369999999999,8348.0,C002923,0,0,0,0
0,CASH_IN,7643.1,C003887,0.0,7643.1,C003830,0,0,1,0
0,CASH_OUT,4073.33,C000777,679.78,0.0,C001405,0,0,0,0
0,PAYMENT,3042.55,C004997,0.0,0.0,C001524,0,0,0,0
0,CASH_OUT,7789.11,C003203,0.0,0.0,C003701,0,0,1,0
0,TRANSFER,5409.57,C000787,0.0,0.0,C001109,0,0,0,0
0,DEBIT,278.69,C000997,3232.62,2953.93,C002817,0,0,0,0
0,DEBIT,1043.63,C000173,0.0,0.0,C002034,0,0,0,0
0,CASH_IN,1045.99,C000905,2948.16,3994.1499999999996,C004814,0,0,0,0
0,PAYMENT,3018.56,C003908,5822.94,2804.3799999999997,C001382,0,0,1,0
0,PAYMENT,2139.61,C004258,0.0,0.0,C004854,0,0,0,0
0,CASH_IN,3015.75,C002736,0.0,3015.75,C002610,0,0,0,0
0,CASH_OUT,2354.65,C000029,0.0,0.0,C004175,0,0,0,0
0,PAYMENT,2308.7,C003864,3019.5399999999995,710.8399999999997,C004509,0,0,0,0
0,CASH_OUT,1837.81,C001088,5000.0,3162.19,C002557,0,0,0,0
0,CASH_OUT,815.54,C001536,1185.3,369.76,C004781,0,0,0,0
0,CASH_OUT,7549.33,C003845,828.12,0.0,C002686,0,0,1,0
0,CASH_OUT,2778.86,C002279,836.8400000000001,0.0,C001400,0,0,0,0
0,DEBIT,286.65,C004084,0.0,0.0,C004363,0,0,0,0
0,CASH_OUT,5815.41,C002577,0.0,0.0,C001636,0,0,1,0
0,TRANSFER,11852.7,C001451,9473.02,0.0,C001107,0,0,1,1
0,CASH_OUT,2322.28,C001530,34481.97999999999,32159.69999999999,C002510,0,0,0,0
0,TRANSFER,4534.92,C003692,0.0,0.0,C000322,0,0,0,0
0,DEBIT,996.19,C000457,740.81,0.0,C002699,0,0,0,0
0,CASH_OUT,1943.38,C000127,0.0,0.0,C003123,0,0,0,0
0,TRANSFER,2088.35,C001350,0.0,0.0,C004394,0,0,0,0
0,PAYMENT,1792.95,C002819,7014.93,5221.9800000000005,C000549,0,0,0,0
0,CASH_IN,543.58,C004735,0.0,543.58,C003898,0,0,0,0
0,PAYMENT,1032.76,C002454,890.7599999999998,0.0,C000756,0,0,0,0
0,PAYMENT,1085.54,C004699,0.0,0.0,C003359,0,0,0,0
0,PAYMENT,1182.57,C004905,2072.02,889.45,C000039,0,0,1,0
0,CASH_OUT,7816.45,C004260,0.0,0.0,C002482,0,0,1,0
0,PAYMENT,2569.91,C003272,0.0,0.0,C000116,0,0,0,0
0,PAYMENT,185.66,C000435,16696.53,16510.87,C002942,0,0,0,0
0,CASH_OUT,3816.26,C002063,0.0,0.0,C003795,0,0,0,0
0,PAYMENT,2920.29,C002504,0.0,0.0,C002906,0,0,0,0
0,TRANSFER,21660.31,C000554,0.0,0.0,C001952,0,0,1,1
0,CASH_IN,2286.97,C001101,0.0,2286.97,C000039,0,0,0,0
0,PAYMENT,1942.09,C001297,924.63,0.0,C003220,0,0,0,0
0,CASH_OUT,4654.37,C002541,0.0,0.0,C000684,0,0,0,0
0,CASH_OUT,4815.32,C001709,0.0,0.0,C003235,0,0,0,0
0,PAYMENT,2648.27,C004988,765.0400000000003,0.0,C000210,0,0,0,0
0,PAYMENT,779.79,C004972,0.0,0.0,C003159,0,0,0,0
